ticker,region
AAPL,US
MSFT,US
GOOGL,US
AMZN,US
NVDA,US
META,US
BRK-B,US
JPM,US
V,US
JNJ,US
WMT,US
PG,US
MA,US
UNH,US
HD,US
DIS,US
PYPL,US
BAC,US
XOM,US
CVX,US
KO,US
PEP,US
COST,US
ABBV,US
MRK,US
AVGO,US
LLY,US
TMO,US
ACN,US
MCD,US
CSCO,US
ABT,US
DHR,US
NEE,US
NKE,US
PM,US
TXN,US
VZ,US
ADBE,US
CRM,US
NFLX,US
CMCSA,US
INTC,US
AMD,US
ORCL,US
QCOM,US
HON,US
UPS,US
IBM,US
AMGN,US
SPGI,US
LOW,US
GE,US
INTU,US
CAT,US
AXP,US
SBUX,US
BA,US
GS,US
PLD,US
DE,US
BLK,US
MDT,US
GILD,US
ADI,US
SYK,US
REGN,US
ISRG,US
VRTX,US
LMT,US
BKNG,US
AMAT,US
MMC,US
RTX,US
C,US
CI,US
SO,US
ZTS,US
MO,US
CB,US
DUK,US
BDX,US
BSX,US
EOG,US
SLB,US
EQIX,US
ITW,US
CL,US
APD,US
APTV,US
PGR,US
WM,US
AON,US
SHW,US
FCX,US
KLAC,US
HCA,US
ETN,US
CME,US
USB,US
NOC,US
ICE,US
MU,US
PNC,US
TGT,US
FIS,US
MCK,US
COF,US
LRCX,US
EMR,US
SRE,US
AIG,US
ORLY,US
PSA,US
AJG,US
AFL,US
SYF,US
AEP,US
STZ,US
CDNS,US
DXCM,US
ECL,US
EXC,US
FITB,US
HIG,US
HSY,US
IDXX,US
MCO,US
MET,US
MSCI,US
PCAR,US
ROP,US
TRP,US
TT,US
YUM,US
