model,rule,n,sharpe,delta_g_log,mean_fraction,max_drawdown,turnover
HAR,bayes,1732,,,1.0,,0.09542013928414904
HAR,rkw,1732,,,1.0,,0.09542013928414904
HAR,kl_tilt,1732,,,1.0,,0.09542013928414904
HAR+SVD,bayes,1732,,,1.0,,0.09633805595165126
HAR+SVD,rkw,1732,,,1.0,,0.09633805595165126
HAR+SVD,kl_tilt,1732,,,1.0,,0.09633805595165126
HAR_SVD_T3,bayes,1732,,,1.0,,0.11023551788758938
HAR_SVD_T3,rkw,1732,,,1.0,,0.11023551788758938
HAR_SVD_T3,kl_tilt,1732,,,1.0,,0.11023551788758938
DNN_HAR+SVD,bayes,1732,,,1.0,,0.1568188334109894
DNN_HAR+SVD,rkw,1732,,,1.0,,0.1568188334109894
DNN_HAR+SVD,kl_tilt,1732,,,1.0,,0.1568188334109894
LSTM_HAR+SVD,bayes,1732,,,1.0,,0.05831917986266876
LSTM_HAR+SVD,rkw,1732,,,1.0,,0.05831917986266876
LSTM_HAR+SVD,kl_tilt,1732,,,1.0,,0.05831917986266876
