Horizon,Model,in_MCS_QLIKE,p_QLIKE,in_MCS_MSE,p_MSE,in_MCS_QLIKE_75,p_QLIKE_75,in_MCS_MSE_75,p_MSE_75,MCS_p_value_note
5,HAR,True,0.117,True,0.629,False,0.173,True,0.663,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
5,HAR_SVD_T1,True,0.117,True,0.629,True,0.293,True,0.663,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
5,HAR+SVD,True,0.117,True,0.629,True,0.293,True,0.663,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
5,HAR+SVD_OSI,True,0.117,True,0.629,True,0.293,True,0.663,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
5,HAR_SVD_T3,True,0.117,True,0.629,True,0.293,True,0.663,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
5,DNN_HAR,True,0.117,True,0.629,True,0.293,True,0.663,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
5,DNN_HAR+SVD,False,0.019,True,0.629,False,0.032,True,0.663,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
5,GARCH,True,0.117,True,0.629,False,0.102,True,0.663,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
5,GJR-GARCH-t,True,0.117,True,0.629,False,0.152,True,0.663,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
5,Combo_EqWt,True,0.117,True,0.629,True,0.293,True,0.663,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
5,Combo_InvMSE,True,0.117,True,0.629,True,0.293,True,0.663,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
5,Combo_BG,True,0.117,True,0.629,False,0.191,True,0.663,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
5,LSTM_HAR,True,0.117,True,0.629,True,0.293,True,0.663,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
5,LSTM_HAR+SVD,True,0.117,True,0.629,False,0.22,True,0.663,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
5,HARNet,True,0.117,True,0.629,False,0.195,True,0.663,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
5,GNN,True,0.117,True,0.629,True,0.293,True,0.663,p_values are tied for surviving models at the last non-rejection round (see evaluation.compute_mcs)
