model,mz_alpha,mz_alpha_se,mz_alpha_t,mz_alpha_p,mz_beta,mz_beta_se,mz_beta_t,mz_beta_p,mz_r2
Combo_BG,-0.273611262293457,0.21112185326818117,-1.2959874028099667,0.19497982492637822,1.2427748450908338,0.2385475402257751,5.20975753476477,1.890875748645642e-07,0.3531878004672767
Combo_EqWt,-0.6345169075342811,0.3461388263155271,-1.8331283846091262,0.06678348084897123,1.552896493797959,0.383966371592492,4.044355466228345,5.246726374384168e-05,0.3435127786955712
Combo_InvMSE,-0.6312265485417532,0.34398828732651826,-1.835023376661033,0.06650222584188233,1.5499445124552393,0.38191758181621405,4.058321968536924,4.942659259171952e-05,0.3437797332448067
DNN_HAR,-0.995073468808902,0.7528585692423094,-1.3217269610284998,0.1862590874345319,2.0213284259867077,0.8128984920838109,2.486569289611016,0.012898144969674867,0.2671035218158022
DNN_HAR+SVD,-0.9710004610541476,0.6750831944408606,-1.438341924447373,0.15033706194079033,2.372373632416748,0.8512896205474684,2.786799668591123,0.005323137533771076,0.29949926045022135
GARCH,-0.024223340786899666,0.22674080935108565,-0.10683273494623646,0.9149216773475877,1.6704615350943302,0.4851279654678778,3.443342074669447,0.0005745720570783045,0.23037442573204436
GJR-GARCH-t,0.08645301878046838,0.16573007676863888,0.5216495428355941,0.6019143619061719,1.2912637941682528,0.3073200169438161,4.201691145957213,2.6492841809372196e-05,0.2754599309335105
GNN,-1.4336766983869327,0.7419682779021487,-1.9322614471342763,0.053327244326011936,2.517582672611039,0.7868785579725024,3.199455172724399,0.0013768759741708935,0.318797943839488
HAR,-0.8206999627678851,0.6394309128397978,-1.2834849649715048,0.19932222370098363,1.7552680939431677,0.6643815430892098,2.64195794148887,0.008242829103267554,0.27772315177345575
HAR+SVD,-0.273611262293457,0.21112185326818117,-1.2959874028099667,0.19497982492637822,1.2427748450908338,0.2385475402257751,5.20975753476477,1.890875748645642e-07,0.3531878004672767
HAR+SVD_GATED_AR,-0.15240110390155498,0.19386108296302412,-0.7861356264610522,0.43178803444077096,1.1522951605316851,0.23922957145384482,4.816691989744254,1.4595772540612628e-06,0.34911224578973565
HAR+SVD_OSI,-0.5641623410070129,0.31730111895879587,-1.7780029987233483,0.0754033623823227,1.4866777388363535,0.35842486555021447,4.1478085973588055,3.35672842967513e-05,0.337841658955349
HAR+SVD_RFF_RIDGE,-3.4638949355312616,2.542464302922401,-1.362416349975783,0.17306652673951017,3.0056985955773072,1.7158098837906322,1.7517666869577673,0.07981393462546975,0.0007080697131955915
HAR+SVD_TAILCAL_AR,-0.004222144212281348,0.17006339445783294,-0.024826884267138537,0.9801930471203746,0.9732640706378635,0.18511614784132366,5.257586018223099,1.4595862943406118e-07,0.34725024010235395
HAR+SVD_minus_G1_eigen,-0.5955096680265763,0.29846375019689914,-1.995249565931251,0.046015667529951725,1.5272072886179147,0.3403274655202364,4.487464114256463,7.207594768183419e-06,0.35246097820528877
HAR+SVD_minus_G2_svd,-0.9327107092024087,0.42922404434994793,-2.1730159842629093,0.02977911426905685,1.8149654776602258,0.4570563566544662,3.9709883720801993,7.157507304726033e-05,0.3636074459744695
HAR+SVD_minus_G3_ixn,-0.6108977943058975,0.34775043217562895,-1.7567132569295207,0.07896669674481227,1.5575896730351948,0.3931811323978764,3.961506656069663,7.447830548454539e-05,0.31215442039580676
HAR+SVD_minus_G4_xs,-0.2736112622934559,0.211121853268181,-1.2959874028099625,0.19497982492637966,1.2427748450908336,0.2385475402257751,5.209757534764769,1.8908757486456565e-07,0.3531878004672765
HARNet,-1.367683802261277,0.846705271048593,-1.6153009187807272,0.10624554479083242,2.183809066281546,0.8197872228179793,2.6638730215565047,0.0077246714950414035,0.2724934891433679
HAR_SVD_T1,-0.9969925729265006,0.716166931587896,-1.3921231614477838,0.16388510565021064,2.002455634024606,0.770517121197408,2.5988463837282767,0.009353762155385796,0.2676076545497097
HAR_SVD_T3,-0.497749207461566,0.26351532560846513,-1.8888814391050974,0.058907717066939085,1.4627585506390082,0.31205898234518076,4.68744254578448,2.766403293472308e-06,0.3405687027516454
LSTM_HAR,-1.0426651704045855,0.672456914972989,-1.5505308179431345,0.12101416254663175,2.0815645684315274,0.7319643975425585,2.843805758066941,0.004457821500606115,0.2791438351147445
LSTM_HAR+SVD,-0.6189148935592363,0.7673489189808427,-0.8065625405210064,0.4199185627026476,1.3201863539275611,0.6857624647649226,1.9251365039060824,0.05421228319912852,0.128742409393527
