Model,Regime,RMSE,R2,MALE,QLIKE
HAR,Calm,2.390552515092255,0.06107003762213703,196.42526389410193,1.5260610727589232
HAR,Crisis,27.49292862506175,0.11458304610336711,142.91421336281385,1.5715590271067716
HAR+SVD,Calm,2.3728752425552746,0.07490479227228719,197.99971485987712,1.5289470777209722
HAR+SVD,Crisis,25.03835919913362,0.265625555582484,143.47981386182923,1.656344532677759
DNN_HAR,Calm,2.3181739395954435,0.11706514913638577,195.65825897827895,1.5351688639713958
DNN_HAR,Crisis,28.21781224370694,0.0672773928904824,145.16487647046958,1.802112527929402
DNN_HAR+SVD,Calm,2.33305404247343,0.10569384744505783,194.60533162384144,2.066895820415652
DNN_HAR+SVD,Crisis,28.241796893904098,0.0656911230010444,143.05035281796842,2.1161292574994772
LSTM_HAR,Calm,2.2918932971764456,0.13697095928095127,193.75843525675847,1.4822236029840463
LSTM_HAR,Crisis,28.171857162502246,0.07031295351446487,144.55575862388343,1.699247948542311
LSTM_HAR+SVD,Calm,2.651003102162999,-0.1546679007311651,216.94832182916016,1.6534545296159355
LSTM_HAR+SVD,Crisis,29.076187618954105,0.009668143418293695,161.17792241177526,2.3028522597274166
HARNet,Calm,2.3454098105274763,0.09619633992121901,204.62849829665828,1.5580102429962515
HARNet,Crisis,28.28187345725689,0.06303757680894806,151.69803219250755,1.7071533854982097
GNN,Calm,2.359451051158112,0.08534236315927013,203.1429827207452,1.5325170613977799
GNN,Crisis,28.072794805512537,0.07683968453741308,142.65141326480853,1.5360752085811895
GARCH,Calm,2.302968196016941,0.12861014043757713,184.28743353672547,1.5865190017223012
GARCH,Crisis,28.47921887347055,0.04991607295432954,155.2964246674061,2.541906179508716
IV_baseline,Calm,2.368894408666101,0.07800614476160883,224.74774297454297,1.5989776716561512
IV_baseline,Crisis,27.646768929322043,0.10464638829440198,150.23167977362345,1.3936874455070867
