Model,Threshold,Regime,RMSE,R2,MALE,QLIKE
HAR,0.2,High Rotation,12.458497310550952,0.22920614754959834,188.29172839557327,1.522271643544475
HAR,0.2,Low Rotation,2.5911559257600807,0.10439870580564536,195.71988644303187,1.5293428682073786
HAR,0.3,High Rotation,10.277692711485289,0.23130044954614704,183.52480548548505,1.4707335139572075
HAR,0.3,Low Rotation,2.605880328424372,0.11541545422318,198.82539077921686,1.5524642784813567
HAR,0.4,High Rotation,8.9363845165812,0.23867662048440785,184.98782812252114,1.4420669161057356
HAR,0.4,Low Rotation,2.7427496853081204,0.07228522464586995,200.39721615780164,1.5851932241731257
HAR+SVD,0.2,High Rotation,11.38721697526357,0.35606488524811875,195.4578670553416,1.5397972240189586
HAR+SVD,0.2,Low Rotation,2.5304726123168173,0.1458563843277716,195.8416702514384,1.5327595098773121
HAR+SVD,0.3,High Rotation,9.406393417602732,0.35611004867894835,189.05400635750524,1.4808990522727143
HAR+SVD,0.3,Low Rotation,2.5456035583279863,0.15586491452195417,198.64398503345134,1.5570247943340298
HAR+SVD,0.4,High Rotation,8.184504183241692,0.3613980770478633,189.48890801627562,1.4497711108373892
HAR+SVD,0.4,Low Rotation,2.6763549724646345,0.11665662764926255,199.9507025131538,1.5904621540946537
DNN_HAR,0.2,High Rotation,12.78614359371217,0.18813078932002447,187.46470371234602,1.5305034264891537
DNN_HAR,0.2,Low Rotation,2.5106316747481086,0.15919821698464942,195.12261530984884,1.5500222263882597
DNN_HAR,0.3,High Rotation,10.525176142497273,0.19383467382086328,182.0669993230856,1.4800620213503615
DNN_HAR,0.3,Low Rotation,2.5456614262055774,0.15582653552074754,198.531546818746,1.5744498526710298
DNN_HAR,0.4,High Rotation,9.149455669331171,0.201939186698456,184.06946867202097,1.457775615967355
DNN_HAR,0.4,Low Rotation,2.6771587108953434,0.11612599278948077,199.9373749784544,1.605030770619922
DNN_HAR+SVD,0.2,High Rotation,12.844897195347302,0.18065240719364228,185.97791368712828,3.259555328694583
DNN_HAR+SVD,0.2,Low Rotation,2.465440955279866,0.18919423342113062,194.1239673847241,1.7706089790150472
DNN_HAR+SVD,0.3,High Rotation,10.577752252719241,0.18576052877085658,182.7547267261647,3.0525683520709146
DNN_HAR+SVD,0.3,Low Rotation,2.485667625923511,0.19514707857609082,196.66961466969533,1.6468841517458626
DNN_HAR+SVD,0.4,High Rotation,9.19587939975865,0.19382002564992162,184.50419851784537,2.743600923833381
DNN_HAR+SVD,0.4,Low Rotation,2.6081245357041576,0.16112205751431308,197.8196547684404,1.6189063472341942
LSTM_HAR,0.2,High Rotation,12.765722802094057,0.1907219963800748,186.79426245394606,1.4659749690046158
LSTM_HAR,0.2,Low Rotation,2.481100205031565,0.17886185759616602,192.98094639151796,1.4974199961432515
LSTM_HAR,0.3,High Rotation,10.507844939505265,0.19648742023224564,182.11175561082064,1.4267592968201357
LSTM_HAR,0.3,Low Rotation,2.5137511905473238,0.17685756459377233,195.87302550011952,1.5187336423733784
LSTM_HAR,0.4,High Rotation,9.138231330724214,0.20389607037972057,184.33684044922882,1.4187707849424742
LSTM_HAR,0.4,Low Rotation,2.633120053805023,0.14496587703786612,196.6802592805159,1.5393761837708089
LSTM_HAR+SVD,0.2,High Rotation,13.274482039809088,0.12493143065767809,220.39041685011216,1.7757646040144703
LSTM_HAR+SVD,0.2,Low Rotation,2.7603219401233066,-0.01635889260808976,213.22694613897625,1.6561012032777576
LSTM_HAR+SVD,0.3,High Rotation,10.931397133969561,0.13040564007882638,211.82514961254589,1.6853522293593195
LSTM_HAR+SVD,0.3,Low Rotation,2.8086275324210557,-0.027587258220996835,215.8793046624977,1.6778113241467572
LSTM_HAR+SVD,0.4,High Rotation,9.550150289179829,0.13050741232241558,214.50083507473735,1.6749531872661731
LSTM_HAR+SVD,0.4,Low Rotation,2.859062845846818,-0.008067304917267482,214.76969811614825,1.6834917472158402
HARNet,0.2,High Rotation,12.838941968829316,0.1814119725416259,203.92819177001718,1.554802871597038
HARNet,0.2,Low Rotation,2.5104126480250493,0.15934491315532429,202.09055120015992,1.5664594278288624
HARNet,0.3,High Rotation,10.567215326251533,0.18738191448621166,197.37941728344578,1.5037160833136483
HARNet,0.3,Low Rotation,2.5467740868040996,0.15508842964928882,204.63795294474062,1.5900417002178624
HARNet,0.4,High Rotation,9.190989202531167,0.19467722063089865,199.29930479294512,1.4996149704171604
HARNet,0.4,Low Rotation,2.666363660501921,0.12323967453570639,204.5660035947127,1.6071508464755093
GNN,0.2,High Rotation,12.723538183258917,0.19606171399045147,194.1533488279831,1.496735268140376
GNN,0.2,Low Rotation,2.5527401110960786,0.1307577614305221,202.2942473629235,1.5416642893474846
GNN,0.3,High Rotation,10.474092200361792,0.20164113019752616,188.74633364752026,1.436382598118114
GNN,0.3,Low Rotation,2.59365417957597,0.12369648800916488,205.77611480548575,1.573971310040889
GNN,0.4,High Rotation,9.105305877580154,0.20962253101240003,191.36736308132706,1.4394252698452261
GNN,0.4,Low Rotation,2.730489516385133,0.0805605105766447,206.86348606891198,1.5948512673611503
GARCH,0.2,High Rotation,12.893527520536471,0.17443662120218062,179.67188950004467,1.7205500699108909
GARCH,0.2,Low Rotation,2.5075660034853384,0.16125032853419208,183.95763725586377,1.6019151814778212
GARCH,0.3,High Rotation,10.626791348357438,0.1781933019567682,174.4029514695128,1.6658388611822181
GARCH,0.3,Low Rotation,2.5159789358557494,0.17539794180975155,186.82998225391103,1.6084547795306172
GARCH,0.4,High Rotation,9.23183267111688,0.18750383395299342,175.44267059531936,1.5925532112569944
GARCH,0.4,Low Rotation,2.6566305971706425,0.1296288920371662,188.20568097529406,1.6477805824877423
IV_baseline,0.2,High Rotation,12.537086098837,0.2194510686301665,211.38621900323145,1.5490738216823605
IV_baseline,0.2,Low Rotation,2.5560053698940473,0.1285326104116412,224.27540241914934,1.60095675460512
IV_baseline,0.3,High Rotation,10.315300974547313,0.22566448656427118,206.840488695897,1.4844877839415211
IV_baseline,0.3,Low Rotation,2.61036186712004,0.11237025779695031,228.0655084346342,1.6360726679886797
IV_baseline,0.4,High Rotation,8.97580495085936,0.23194506312572727,210.06015965942865,1.492272976305983
IV_baseline,0.4,Low Rotation,2.7325056286230596,0.07920223576804797,229.452126757131,1.6561198736013707
